phase,ablated,cv_r2_log,delta_log,baseline_log
Liq,Synthesis Method of Perovskite,0.8346531531762752,-0.020148251599254485,0.8548014047755297
Liq,A,0.8412973645980678,-0.013504040177461873,0.8548014047755297
Liq,B,0.8452702885244511,-0.009531116251078608,0.8548014047755297
Liq,Band Gap*,0.8490940892783054,-0.005707315497224252,0.8548014047755297
Liq,cocatalyst,0.8164670940860811,-0.03833431068944859,0.8548014047755297
Gas,Synthesis Method of Perovskite,0.6504506905729805,0.02377311098126622,0.6266775795917143
Gas,A,0.6130139484872903,-0.013663631104424034,0.6266775795917143
Gas,B,0.5306585680031712,-0.09601901158854309,0.6266775795917143
Gas,Band Gap*,0.5970786233279691,-0.029598956263745202,0.6266775795917143
Gas,cocatalyst,0.626351860057684,-0.00032571953403037757,0.6266775795917143
